quality_level,quality,attr_random_count,need_same_count,need_all_count,need_quality_level,attr_param,original_relic_num,common_relic_num,content
1,3,1,2,2,1,0,0,0,进阶需要2个品质为N的同样圣物
2,4,2,2,2,2,5,0,0,进阶需要2个品质为R的同样圣物
3,4,2,0,2,3,10,0,0,进阶需要2个品质为R+任意的圣物
4,5,3,1,1,4,20,0,0,进阶需要1个品质为SR的同样圣物
5,5,3,0,2,5,30,1,0,进阶需要2个品质为SR+的任意圣物
6,6,3,1,1,5,50,1,4,进阶需要1个品质为SR+的同样圣物
7,6,3,0,1,7,60,3,4,进阶需要1个品质为SSR+的任意圣物
8,6,3,0,1,7,80,3,12,进阶需要1个品质为SSR+的任意圣物
9,6,3,2,2,5,105,3,20,进阶需要2个品质为SR+的同样圣物
10,6,3,1,1,5,110,7,20,进阶需要1个品质为SR+的同样圣物
11,6,3,1,1,5,115,9,20,进阶需要1个品质为SR+的同样圣物
12,6,3,1,1,5,120,11,20,进阶需要1个品质为SR+的同样圣物
13,6,3,1,1,5,125,13,20,进阶需要1个品质为SR+的同样圣物
14,6,3,1,1,5,130,15,20,圣物已到达最高阶
