sid,type,is_normal,kill_enemy_trigger,cause_damage_trigger,before_fight_trigger,action_trigger,die_trigger,after_action_trigger,mp_cost,eid,open_level,show_popup,adjust_target_position,prepare_anim,skill_anim,multi_target_spacing_time,name,icon,info,frame_id
10000,1,1,0,0,0,0,0,0,0,10000,1,0,0,attack_act,,0,普通攻击,10000.png,看起来普通确实普通的普通攻击,0
10001,1,1,0,0,0,0,0,0,0,10001,1,0,0,attack_act,,0,普通攻击,10000.png,看起来普通确实普通的普通攻击,0
10002,1,1,0,0,0,0,0,0,0,10002,1,0,0,attack_2_act,,0,普通攻击,10000.png,看起来普通确实普通的普通攻击,0
10003,1,1,0,0,0,0,0,0,0,10003,1,0,0,attack_3_act,,0,普通攻击,10000.png,看起来普通确实普通的普通攻击,0
100000001,1,0,0,0,0,0,0,0,0,100000101,1,0,0,HQMW_act,HQMW_att,0,强毒1,10000.png,施加【中毒】持续至战斗结束，每回合损失最大生命值5%生命值，【中毒】可叠加，最多5层。,0
100000002,1,0,0,0,0,0,0,0,0,100000102,1,0,0,HQMW_act,HQMW_att,0,强毒2,10000.png,施加【中毒】持续至战斗结束，每回合损失最大生命值5%生命值，【中毒】可叠加不可驱散，最多5层。,0
100000003,1,0,0,0,0,0,0,0,0,100000103,1,0,0,HQMW_act,HQMW_att,0,强毒3,10000.png,施加【中毒】持续至战斗结束，每回合损失最大生命值10%生命值，【中毒】可叠加，最多5层。,0
100000004,1,0,0,0,0,0,0,0,0,100000104,1,0,0,HQMW_act,HQMW_att,0,强毒4,10000.png,施加【中毒】持续至战斗结束，每回合损失最大生命值10%生命值，【中毒】可叠加不可驱散，最多5层。,0
100000005,1,0,0,0,0,0,0,0,0,100000105,1,0,0,1008_act,,0,叠甲叠伤1,10000.png,【祝福】自己，增加40%的伤害、防御力，持续3回合，祝福持续无限回合，最多可叠加5层。,0
100000006,1,0,0,0,0,0,0,0,0,100000106,1,0,0,1008_act,,0,叠甲叠伤2,10000.png,【祝福】自己，增加40%的伤害、防御力，持续3回合，祝福持续无限回合，最多可叠加5层。（不可驱散）,0
100101001,1,0,0,0,0,0,0,0,100,100101101,8,0,0,1001_act,,0,英勇打击,1001.png,对1名敌人造成240%的物理伤害,0
100102001,1,0,0,0,0,0,0,0,250,100102101,10,0,0,1002_act,,0,风暴之锤,1002.png,对1名敌人造成280%的物理伤害，并有50%的概率使其晕眩1回合,0
100103001,1,0,0,0,0,0,0,0,200,100103101,15,0,0,1003_act,,0,急救,1003.png,对我方血量最低的1名队友进行100%治疗,0
100104001,1,0,0,0,0,0,0,0,300,100104101,20,0,0,1004_act,1004_att,0,剑刃风暴,1004.png,对前排3名敌人造成200%的物理伤害,0
100105001,1,0,0,0,0,0,0,0,100,100105101,25,0,0,1005_act,,0,盾墙,1005.png,2回合内使受到的伤害降低60%，并且挑衅敌人，成为优先攻击目标,0
100106001,1,0,0,0,0,0,0,0,200,100106101,30,0,0,1006_act,,0,狂暴,1006.png,使自己进入狂乱状态，普通攻击必定暴击，且免疫异常状态，持续3回合,0
100107001,1,0,0,0,0,0,0,0,300,100107101,35,0,0,1007_act,,0,怒火中烧,1007.png,以自身受到的伤害增加50%为代价使自身造成的伤害增加50%，持续5回合,0
100108001,1,0,0,0,0,0,0,0,150,100108101,40,0,0,1008_act,,0,战斗怒吼,1008.png,增加我方随机3人30%的伤害，50%的防御力，持续3回合,0
100109001,1,0,0,0,0,0,0,0,250,100109101,45,0,0,1009_act,,0,致死打击,1009.png,对当前血量最少的敌人造成100%的物理伤害，使其在2回合内无法回复生命,0
100110001,1,0,0,0,0,0,0,0,300,100110101,50,0,1,1010_act,,0,雷霆一击,1010.png,对当前血量百分比最低的1名敌人照成220%的物理伤害，对方每损失1%的血量伤害提高1%,0
100111001,1,0,0,0,0,0,0,0,250,100111101,1,0,1,1010_act,,0,雷霆一击,1010.png,对1名敌人造成300%的伤害,0
100111002,1,0,0,0,0,0,0,0,250,100111102,1,0,1,1010_act,,0,雷霆一击,1010.png,对1名敌人造成320%的伤害，并且有30%的几率使其【晕眩】1回合,0
100111003,1,0,0,0,0,0,0,0,250,100111103,1,0,1,1010_act,,0,雷霆一击,1010.png,对1名敌人造成360%的伤害，并且有40%的几率使其【晕眩】1回合,0
