bid,buff_anim,buff_trigger_anim,name,icon,info,stack_count_max
66662211,,,坚毅之念,,护盾,0
66662311,,,勇气之念,,30%伤害,0
66663311,,,谋者之力,,职业克制效果提升50%,0
66663411,,,统领之力,,提升我方全体5%攻击力,6
66664211,,,希望之灵,,为自身增加存活队友数量*5%的攻击力,5
66664311,,,寂静之灵,,处于不良状态时，受到伤害降低30%,0
66664411,,,狂暴之灵,,自身受到伤害提升30%，伤害增加30%,0
66665111,,,不灭之律,,免疫死亡,0
66665211,1002_buff,,晕眩,YunXuan,1回合无法行动,0
66665411,,,吸血-协调之律,,增加吸血,0
66665412,,,增伤-协调之律,,伤害增加,0
999911111,,,输出1,,伤害增加,3
999913111,,,输出3,,增加攻击、吸血,3
999923111,,,肉3,,增加防御、伤害反弹,3
999941111,,,奶1,,受到攻击治疗,0
999951111,,,控1-受击buff,,,0
999951121,,,控1-受击buff加buff,,加效果命中,10
999953111,,,控3,,加血上限,3
100111214,,,虚弱-雷霆一击,XuRuo,2回合攻击力降低20%,0
100111215,,,虚弱-雷霆一击,XuRuo,2回合攻击力降低30%,0
100111216,,,虚弱-雷霆一击,XuRuo,2回合攻击力降低40%,0
100111226,,,破甲-雷霆一击,PoJia,2回合防御力降低40%,0
100111217,,,虚弱-雷霆一击,XuRuo,2回合攻击力降低50%,0
100111227,,,破甲-雷霆一击,PoJia,2回合防御力降低50%,0
100111218,,,虚弱-雷霆一击,XuRuo,2回合攻击力降低50%,0
100111228,,,粉碎-雷霆一击,FenSui,2回合防御力、物抗、魔抗降低50%,0
100112111,,,奋发-战斗号角,FenFa,3回合伤害增加20%,0
100112112,,,奋发-战斗号角,FenFa,3回合伤害、防御力增加25%,0
100112113,,,奋发-战斗号角,FenFa,3回合伤害、防御力增加30%,0
100112214,,,奋发-战斗号角,FenFa,3回合伤害、防御力增加35%,0
100112215,,,奋发-战斗号角,FenFa,3回合伤害、防御力增加40%,0
100112216,,,奋发-战斗号角,FenFa,3回合伤害、防御力增加50%，暴击值增加30%,0
100112217,,,奋发-战斗号角,FenFa,3回合伤害、防御力增加60%，暴击值增加40%,0
100112218,,,奋发-战斗号角,FenFa,3回合伤害、防御力、暴击值增加60%,0
150112217,,,奋发-战斗号角,FenFa,3回合伤害、防御力增加60%，暴击值、暴伤增加40%,0
160112218,,,奋发-战斗号角,FenFa,3回合伤害、防御力、暴击值增加60%，暴伤增加40%,0
170112111,,,不灭之灵,,护盾,0
170113111,,,主角光环,ZhuJue,攻击力、防御、物抗、魔抗、异常抵抗提升,0
100102211,1002_buff,,晕眩,YunXuan,1回合无法行动,0
100105111,,,盾墙,TiaoXin,2回合内伤害降低60%，并挑衅敌人,0
100106111,1006_buff,,狂暴,BaoZou,3回合内攻击必定暴击，且免疫异常状态,0
100107111,,,怒火中烧,FenNu,5回合内伤害增加50%，受到伤害增加50%,0
100108111,,,战斗怒吼,KuangLuan,3回合内增加30%的伤害，90%的防御力,0
100109211,,,流血,LiuXue,2回合内不能回复生命,0
100201211,,,中毒,ZhongDu,2回合内每回合减少最大生命值3%的生命值,0
100203111,,,爆炸射击,,1回合内暴击率增加10%,0
