index,eid,damage_type,content
10001,0,1,{MASTER_NAME}使用了普通攻击，对{TARGET_NAME}造成了{DAMAGE}伤害。
10003,0,2,{MASTER_NAME}使用了普通攻击，对{TARGET_NAME}造成了{DAMAGE}伤害。
10008,0,8,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，但被闪避。
10010,0,10,{MASTER_NAME}受到了{DAMAGE}伤害反弹。
10011,0,11,{TARGET_NAME}免疫了{MASTER_NAME}释放的{SKILL_NAME}造成的【{BUFF_NAME}】状态。
2,100101101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
3,100102101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
4,100102201,6,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，目标进入了晕眩状态。
5,100103101,4,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，回复了{DAMAGE}生命。
6,100104101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
7,100105101,5,因{SKILL_NAME}效果，{MASTER_NAME}进入【挑衅】状态，非范围技能只能攻击{MASTER_NAME}，伤害降低60%，持续2回合。
8,100105111,5,
9,100106101,5,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}。
10,100107101,5,因{SKILL_NAME}效果，{MASTER_NAME}受到伤害提高50%，伤害增加50%
11,100107111,5,
12,100108101,5,因{SKILL_NAME}效果，{TARGET_NAME}防御力提高90%，伤害提高30%，持续3回合。
13,100108111,5,
14,100109101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
15,100109201,6,因{SKILL_NAME}效果，{TARGET_NAME}【流血】，2回合内无法回复生命
16,100110101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
17,100201101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
18,100201201,5,因{SKILL_NAME}效果，{TARGET_NAME}【中毒】，每回合损失3%生命，持续2回合。
19,100201211,3,
20,100202101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
21,100203101,5,因{SKILL_NAME}效果，{MASTER_NAME}暴击率增加10%。
22,100203201,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
23,100205101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
24,100205201,6,因{SKILL_NAME}效果，{TARGET_NAME}被添加【印记】，3回合内成为优先攻击目标。
25,100204101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
26,100204201,6,因{SKILL_NAME}效果，{TARGET_NAME}不能使用技能，持续2回合
27,100206101,5,{MASTER_NAME}进入隐身状态，2回合内只受范围技能伤害
28,100207101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
29,100207201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【致盲】，命中率降低70%，持续3回合。
30,100207211,6,
31,100208101,5,{MASTER_NAME}使用了{SKILL_NAME}，提高70%伤害。
32,100208111,5,
33,100209101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。{MASTER_NAME}回复了{DAMAGE}生命。
34,100210101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
35,100210201,6,因{SKILL_NAME}效果，{TARGET_NAME}的{BUFF_NAME}被移除。
36,100301101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
37,100302101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
38,100303101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
39,100303201,6,因{SKILL_NAME}效果，{TARGET_NAME}攻击力降低70%，持续2回合。
40,100303211,6,
41,100304101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
42,100304201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【冰冻】，无法行动，持续1回合。
43,100305101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
44,100305201,7,{TARGET_NAME}减少了{DAMAGE}魔法值。
45,100305301,7,{TARGET_NAME}恢复了{DAMAGE}魔法值。
46,100306101,5,因{SKILL_NAME}效果，{TARGET_NAME}获得【冰甲】，持续2回合。
47,100306111,5,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，物抗增加100%，伤害反弹增加30%，并且受到普通攻击时有50%的几率冻结攻击者2回合。
48,100306121,6,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，物抗增加100%，伤害反弹增加30%，并且受到普通攻击时有50%的几率冻结攻击者2回合。
49,100307101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
50,100308101,0,{MASTER_NAME}再次对{TARGET_NAME}使用{SKILL_NAME}。
51,100309101,5,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，之后2回合用1点魔法值抵消5点伤害。
52,100310101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
53,100310201,6,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}。
54,110001101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
55,110001201,3,因{SKILL_NAME}效果，额外对{TARGET_NAME}造成了{DAMAGE}真实伤害。
56,110002101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
57,110002201,6,因{SKILL_NAME}效果，{TARGET_NAME}进入了晕眩状态，持续1回合。
58,110101101,4,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，回复了{DAMAGE}生命。
59,110101201,5,因{SKILL_NAME}效果，驱散了{TARGET_NAME}身上所有不利buff。
60,110102101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
