cfg_id,quality,before_cost,cost,limit,thing,is_food
1,5,300,300,1,25:3001:1,0
2,5,300,240,1,25:3001:1,0
3,5,18000,18000,1,25:3001:60,0
4,5,1500,1500,1,25:3001:5,0
5,5,1500,1200,1,25:3001:5,0
6,5,300,300,1,25:3002:1,0
7,5,300,240,1,25:3002:1,0
8,5,18000,18000,1,25:3002:60,0
9,5,1500,1500,1,25:3002:5,0
10,5,1500,1200,1,25:3002:5,0
11,5,300,300,1,25:3003:1,0
12,5,300,240,1,25:3003:1,0
13,5,18000,18000,1,25:3003:60,0
14,5,1500,1500,1,25:3003:5,0
15,5,1500,1200,1,25:3003:5,0
16,5,300,300,1,25:3004:1,0
17,5,300,240,1,25:3004:1,0
18,5,18000,18000,1,25:3004:60,0
19,5,1500,1500,1,25:3004:5,0
20,5,1500,1200,1,25:3004:5,0
21,5,300,300,1,25:3005:1,0
22,5,300,240,1,25:3005:1,0
23,5,18000,18000,1,25:3005:60,0
24,5,1500,1500,1,25:3005:5,0
25,5,1500,1200,1,25:3005:5,0
26,5,300,300,1,25:3006:1,0
27,5,300,240,1,25:3006:1,0
28,5,18000,18000,1,25:3006:60,0
29,5,1500,1500,1,25:3006:5,0
30,5,1500,1200,1,25:3006:5,0
31,5,300,300,1,25:3007:1,0
32,5,300,240,1,25:3007:1,0
33,5,18000,18000,1,25:3007:60,0
34,5,1500,1500,1,25:3007:5,0
35,5,1500,1200,1,25:3007:5,0
36,5,300,300,1,25:3008:1,0
37,5,300,240,1,25:3008:1,0
38,5,18000,18000,1,25:3008:60,0
39,5,1500,1500,1,25:3008:5,0
40,5,1500,1200,1,25:3008:5,0
41,4,1000,1000,1,5:3000207:1,1
42,4,100,100,1,25:2001:1,0
43,4,100,90,1,25:2001:1,0
44,4,5000,5000,1,25:2001:50,0
45,4,100,100,1,25:2002:1,0
46,4,100,90,1,25:2002:1,0
47,4,5000,5000,1,25:2002:50,0
48,4,100,100,1,25:2003:1,0
49,4,100,90,1,25:2003:1,0
50,4,5000,5000,1,25:2003:50,0
51,4,100,100,1,25:2004:1,0
52,4,100,90,1,25:2004:1,0
53,4,5000,5000,1,25:2004:50,0
54,4,100,100,1,25:2005:1,0
55,4,100,90,1,25:2005:1,0
56,4,5000,5000,1,25:2005:50,0
57,4,100,100,1,25:2006:1,0
58,4,100,90,1,25:2006:1,0
59,4,5000,5000,1,25:2006:50,0
60,4,100,100,1,25:2007:1,0
61,4,100,90,1,25:2007:1,0
62,4,5000,5000,1,25:2007:50,0
63,4,100,100,1,25:2008:1,0
64,4,100,90,1,25:2008:1,0
65,4,5000,5000,1,25:2008:50,0
66,4,100,100,1,25:2009:1,0
67,4,100,90,1,25:2009:1,0
68,4,5000,5000,1,25:2009:50,0
69,4,100,100,1,25:2010:1,0
70,4,100,90,1,25:2010:1,0
71,4,5000,5000,1,25:2010:50,0
72,3,25,20,1,25:1001:1,0
73,3,25,20,1,25:1002:1,0
74,3,25,20,1,25:1003:1,0
75,3,25,20,1,25:1004:1,0
76,3,25,20,1,25:1005:1,0
77,3,25,20,1,25:1006:1,0
78,3,25,20,1,25:1007:1,0
79,3,25,20,1,25:1008:1,0
80,3,25,20,1,25:1009:1,0
81,3,25,20,1,25:1010:1,0
82,3,25,20,1,25:1011:1,0
83,3,25,20,1,25:1012:1,0
84,5,300,300,1,25:3012:1,0
85,5,300,240,1,25:3012:1,0
86,5,18000,18000,1,25:3012:60,0
87,5,1500,1500,1,25:3012:5,0
88,5,1500,1200,1,25:3012:5,0
89,5,300,300,1,25:3013:1,0
90,5,300,240,1,25:3013:1,0
91,5,18000,18000,1,25:3013:60,0
92,5,1500,1500,1,25:3013:5,0
93,5,1500,1200,1,25:3013:5,0
