treasure_id,name,special_effect_type,rebate_debris_count,quality,show_label,desc,is_hero
1001,卢恩符石,0,10,3,战斗,神王奥丁的至宝之一，刻于石板上的符文。这是一种蕴含着魔力的文字，传说每个字节都代表着一种自然能量，当它们组成词语或者短句时，就能形成一个魔法。,0
1002,夏日缤纷,0,10,3,战斗,你问什么盯着人家，是我脸上有什么吗？,1
1003,战斗天使,0,10,3,战斗,英勇无畏的战斗天使加百利神圣庇佑着世间，以强大的战斗力守护正义，无恶不击。,1
1004,梦境时刻,0,10,3,战斗,如梦如幻，亦真亦假，让人恍若隔世。,1
1005,生命钥匙,0,10,3,战斗,由黄金和宝石打造，象征生命和轮回的十字型法器。它是法老王发号施令的工具，也是祭司们与亡灵沟通的圣物。,0
1006,神圣金字塔,0,10,3,战斗,以纯金打造的金字塔复制品，它们很小，小到只用一只手就能拿起。如此精巧的复制品，让人不禁产生怀疑，它的内部，是否也躺着一位法老王呢？,0
1007,失落古卷,0,10,3,战斗,又称“死海文书”，是记载圣经中失落传说的神话古卷。在发明纸张之前，人们喜欢在鞣制后的羊皮上书写文字，那些上古的寓言，禁忌的咒语，统统以这种方式保存了下来。,0
1008,华尔兹,0,10,3,战斗,这么美好的夜晚，有没有兴趣与我共舞一曲呢？,1
1009,精心呵护,0,10,3,战斗,咦，你也是来这里照顾这些小生命的吗？,1
1010,昆仑镜,0,10,3,战斗,据说是使用女娲补填用的神石磨出来的石镜。石镜中精确的刻着日月星辰的方位，仿佛宇宙间的一切，都被收入其中。,0
1011,稻荷面具,0,10,3,战斗,供奉于大多数日本稻荷神社中的面具，一般是通灵仪式上的宝物，神主们戴上它，与鬼神进行沟通。,0
1012,畅游书海,0,10,3,战斗,书中自有黄金屋，书中自有颜如玉，你说对吗？,1
2001,爱神项链,0,30,4,战斗,耀眼无比，华丽绝伦的项链。传说它可能是由珍珠制成的。可以使穿戴的女性更加美丽，使男人都无法抗拒。这个项链是女神弗蕾亚的宝物，平时绝不离身。,0
2002,原初之火,0,30,4,战斗,普罗米修斯带给人类的最早的火种，智慧与文明的象征。即使没有任何燃料，它也永恒不灭。,0
2003,夏日畅饮,0,30,4,战斗,这么好的天气，一起去冲浪吧，今天就不打铁了。,1
2004,荷鲁斯之眼,0,30,4,战斗,埃及金字塔守护者象征物所制的神圣收藏品，埃及王权的象征。通体为黄金和宝石打造，凝视它时，仿佛也感到了它的回视。,0
2005,时间沙漏,8,30,4,增益,供奉于埃及神庙的贡品，是古代埃及众神少有的能够精准计时的工具，当一测被沙子填满，而另一侧空空如也时，则意味着需要进行昼夜更替了。,0
2006,圣杯,0,30,4,战斗,据说是基督受刑时，用来盛放他的血液的金杯。为了向世人证明基督非神，于是将他的血液盛起来，而神是不会流血的。,0
2007,甜品小屋,0,30,4,战斗,主人，要吃些我做的甜品吗？,1
2008,樱花狩猎,0,30,4,战斗,这种樱花盛开的季节最适合去狩猎了，你说呢？,1
2009,欢迎光临,0,30,4,战斗,欢迎光临，想喝点什..什么吗...嗯？你是来找我的？,1
2010,许个愿吧,4,30,4,战斗,许个愿吧！兴许我能帮你实现呢。,1
3001,莱瓦汀,7,50,5,特权,它是由火山之心的熔岩打造出来的宝剑，火焰巨人苏特尔曾挥舞此剑，在彩虹桥上大杀四方，据说他挥出的每一剑，都能点燃一方的天空。,0
3002,天舟,6,50,5,增益,又名“斯基德普拉特尼”，是北欧神工匠侏儒所制，送给弗雷的一艘飞船，大可装下所有北欧众神，小可放至口袋中，诸神黄昏发生时搭载众神至战场的宝物。,0
3003,花火大会,5,50,5,增益,今晚的烟花真绚丽呐，就和那一年一样。,1
3004,鲤跃龙门,3,50,5,战斗,我相信，只要努力，所以人都能鲤跃龙门的,1
3005,猫又咖啡屋,0,50,5,战斗,很高兴为您服务！我是猫...猫又，请多指教。,1
3006,大丰收,2,50,5,战斗,如此的大丰收，就不会有人遭受饥苦了吧,1
3007,如意金箍棒,0,50,5,战斗,由昊天大帝所铸，赠予禹王用来支撑东海的基柱，名为定海神针，巨大，且奇重无比。昊天上帝为了使禹王等凡夫俗子能够移动，故施加”如意“咒法，念此咒，可将其自由放大缩小。,0
3008,武斗大会,1,50,5,增益,来和我决斗吧，招式会说明一切！,1
3009,一周年纪念卡,0,50,5,增益,一周年纪念卡,1
3010,二周年纪念卡,0,50,5,增益,二周年纪念卡,1
3011,三周年纪念卡,0,50,5,增益,三周年纪念卡,1
