treasure_id,position_count,delete_get_score,quality,name,icon,description
1001,10,5,3,卢恩符石碎片,1001.png,集齐10个卢恩符石碎片可以合成卢恩符石
1002,10,5,3,夏日缤纷碎片,1002.png,集齐10个夏日缤纷碎片可以合成夏日缤纷
1003,10,5,3,战斗天使碎片,1003.png,集齐10个战斗天使碎片可以合成战斗天使
1004,10,5,3,梦境时刻碎片,1004.png,集齐10个梦境时刻碎片可以合成梦境时刻
1005,10,5,3,生命钥匙碎片,1005.png,集齐10个生命钥匙碎片可以合成生命钥匙
1006,10,5,3,神圣金字塔碎片,1006.png,集齐10个神圣金字塔碎片可以合成神圣金字塔
1007,10,5,3,失落古卷碎片,1007.png,集齐10个失落古卷碎片可以合成失落古卷
1008,10,5,3,华尔兹碎片,1008.png,集齐10个华尔兹碎片可以合成华尔兹
1009,10,5,3,精心呵护碎片,1009.png,集齐10个精心呵护碎片可以合成精心呵护
1010,10,5,3,昆仑镜碎片,1010.png,集齐10个昆仑镜碎片可以合成昆仑镜
1011,10,5,3,稻荷面具碎片,1011.png,集齐10个稻荷面具碎片可以合成稻荷面具
1012,10,5,3,畅游书海碎片,1012.png,集齐10个畅游书海碎片可以合成畅游书海
2001,30,25,4,爱神项链碎片,2001.png,集齐30个爱神项链碎片可以合成爱神项链
2002,30,25,4,原初之火碎片,2002.png,集齐30个原初之火碎片可以合成原初之火
2003,30,25,4,夏日畅饮碎片,2003.png,集齐30个夏日畅饮碎片可以合成夏日畅饮
2004,30,25,4,荷鲁斯之眼碎片,2004.png,集齐30个荷鲁斯之眼碎片可以合成荷鲁斯之眼
2005,30,25,4,时间沙漏碎片,2005.png,集齐30个时间沙漏碎片可以合成时间沙漏
2006,30,25,4,圣杯碎片,2006.png,集齐30个圣杯碎片可以合成圣杯
2007,30,25,4,甜品小屋碎片,2007.png,集齐30个甜品小屋碎片可以合成甜品小屋
2008,30,25,4,樱花狩猎碎片,2008.png,集齐30个樱花狩猎碎片可以合成樱花狩猎
2009,30,25,4,欢迎光临碎片,2009.png,集齐30个欢迎光临碎片可以合成欢迎光临
2010,30,25,4,许个愿吧碎片,2010.png,集齐30个许个愿吧碎片可以合成许个愿吧
3001,50,50,5,莱瓦汀碎片,3001.png,集齐50个莱瓦汀碎片可以合成莱瓦汀
3002,50,50,5,天舟碎片,3002.png,集齐50个天舟碎片可以合成天舟
3003,50,50,5,花火大会碎片,3003.png,集齐50个花火大会碎片可以合成花火大会
3004,50,50,5,鲤跃龙门碎片,3004.png,集齐50个鲤跃龙门碎片可以合成鲤跃龙门
3005,50,50,5,猫又咖啡屋碎片,3005.png,集齐50个猫又咖啡屋碎片可以合成猫又咖啡屋
3006,50,50,5,大丰收碎片,3006.png,集齐50个大丰收碎片可以合成大丰收
3007,50,50,5,如意金箍棒碎片,3007.png,集齐50个如意金箍棒碎片可以合成如意金箍棒
3008,50,50,5,武斗大会碎片,3008.png,集齐50个武斗大会碎片可以合成武斗大会
