key,attribute
1:1,STR
1:2,AGI
1:3,INT
1:4,EDR
2:1,Max HP
2:3,Min ATK
2:4,Max ATK
2:5,DEF
2:6,P.RES
2:7,M.RES
2:8,ACC?
2:9,EVA?
2:10,CRIT
2:11,FOR
2:15,DMG Increase
2:16,DMG Reduction
2:17,DEF.PEN Level
2:18,SPD
2:19,Crit probability
2:20,EVA probability
2:21,Increases DMG Dealt to Warriors
2:22,Increases DMG Dealt to Archers
2:23,Increases DMG Dealt to Mages
2:24,Reduces DMG Taken by Warriors
2:25,Reduces DMG Taken by Archers
2:26,Reduces DMG Taken by Mages
2:27,Effect ACC
2:28,True Damage Increase
2:29,Increased Heal
2:30,Final DMG
2:31,Final DMG Reduction
2:36,M.DMG Amplify
2:37,M.DMG Reduction
2:38,P.DMG Amplify
2:39,P.DMG Reduction
3:1,ATK UP
3:2,HP UP
3:3,ACC UP
3:4,DEF UP
3:5,FOR UP
3:6,EVA UP
3:7,CRIT UP
3:8,Crit DMG UP
3:9,Leech
3:10,DEF PEN
3:13,P.RES UP
3:14,M.RES UP
3:15,Debuff RES
3:16,Restore HP
3:17,DMG Reflection
3:21,RES PEN
3:22,Charm UP
3:23,Crit DMG value reduction
