rarity,low,high,mean,mode
ssrp0,168,170,169,169
ssrp1,200,213,210.93,211
ssrp2,254,275,272.45,274
ssrp3,355,361,358.85,359
ssrp4,461,482,479.37,479
ssrp5,618,625,622.01,622
ur0,171,177,175.57,176
ur1,222,228,223.94,224
ur2,300,319,313.8,313
ur3,410,421,415.28,416
ur4,552,562,555.9,555
ur5,702,715,711.53,715
urp0,177,193,190.68,192
urp1,238,246,241.36,241
urp2,312,325,322.42,325
urp3,420,437,431.14,431
urp4,556,580,572.93,573
urp5,720,734,725.59,725
mr0,188,195,194.01,195
mr1,241,260,257.34,259
mr2,329,336,332.32,332
mr3,431,453,447.11,448
mr4,569,585,580.56,585
mr5,737,752,743.7,743
